id,ime,podrocje,nadstropje,leto,velikost,cena,posredovanje,tip1
6066900,LJ. BEŽIGRAD,Bezigrad,9,2014,93.64,383450.95,Prodaja,Stanovanje
6062965,LJ. BEŽIGRAD,Bezigrad,VP,1940,94.0,299000.0,Prodaja,Stanovanje
5936334,LJ. BEŽIGRAD,Bezigrad,1,1933,97.8,169000.0,Prodaja,Stanovanje
6068288,LJ. BEŽIGRAD,Bezigrad,8,2014,104.0,550000.0,Prodaja,Stanovanje
5893832,LJ. BEŽIGRAD,Bezigrad,8,2014,105.18,432119.21,Prodaja,Stanovanje
5896102,LJ. BEŽIGRAD,Bezigrad,9,2014,105.35,432969.53,Prodaja,Stanovanje
5887642,LJ. BEŽIGRAD,Bezigrad,7,2014,107.19,439209.02,Prodaja,Stanovanje
6067027,LJ. BEŽIGRAD,Bezigrad,P,1937,107.4,299000.0,Prodaja,Stanovanje
5901140,LJ. BEŽIGRAD,Bezigrad,10,2014,107.59,400348.7,Prodaja,Poslovni prostor
6066881,LJ. BEŽIGRAD,Bezigrad,5,2014,108.21,384143.64,Prodaja,Stanovanje
6066875,LJ. BEŽIGRAD,Bezigrad,4,2014,108.28,384293.11,Prodaja,Stanovanje
6050227,LJ. BEŽIGRAD,Bezigrad,1,1927,114.3,170000.0,Prodaja,Stanovanje
6066898,LJ. BEŽIGRAD,Bezigrad,9,2014,120.57,490084.88,Prodaja,Stanovanje
6021940,LJ. BEŽIGRAD,Bezigrad,P,1965,125.0,450000.0,Prodaja,Stanovanje
6052545,LJ. BEŽIGRAD,Bezigrad,4,1996,133.5,620000.0,Prodaja,Stanovanje
6007826,LJ. BEŽIGRAD,Bezigrad,8,2014,150.0,591229.78,Prodaja,Stanovanje
6066914,LJ. BEŽIGRAD,Bezigrad,9,2014,150.97,591413.54,Prodaja,Stanovanje
5893827,LJ. BEŽIGRAD,Bezigrad,8,2014,153.32,444132.0,Prodaja,Stanovanje
5901142,LJ. BEŽIGRAD,Bezigrad,10,2014,159.0,553627.62,Prodaja,Stanovanje
6066904,LJ. BEŽIGRAD,Bezigrad,10,2014,161.66,575565.18,Prodaja,Stanovanje
5887161,LJ. BEŽIGRAD,Bezigrad,5,2014,162.78,468988.66,Prodaja,Stanovanje
6066779,LJ. BEŽIGRAD,Bezigrad,5,2001,170.0,366000.0,Prodaja,Stanovanje
6066823,LJ. BEŽIGRAD,Bezigrad,7,2014,176.1,583826.89,Oddaja,Stanovanje
5901136,LJ. BEŽIGRAD,Bezigrad,10,2014,185.09,654617.47,Prodaja,Stanovanje
6007827,LJ. BEŽIGRAD,Bezigrad,9,2014,186.0,637415.9,Prodaja,Stanovanje
6066908,LJ. BEŽIGRAD,Bezigrad,9,2014,186.2,637415.9,Prodaja,Stanovanje
6066905,LJ. BEŽIGRAD,Bezigrad,10,2014,189.95,685260.98,Prodaja,Stanovanje
5901149,LJ. BEŽIGRAD,Bezigrad,10,2014,202.38,720516.73,Prodaja,Stanovanje
6069636,LJ. BEŽIGRAD,Bezigrad,3,1997,217.0,449000.0,Prodaja,Stanovanje
6051972,"LJ. BEŽIGRAD, ATRIJSKO, GLINŠKOVA PLOŠČAD",Bezigrad,P,1980,60.0,153000.0,Prodaja,Stanovanje
6050112,"LJ. BEŽIGRAD, BLIŽINA AC PRIKLJUČKA",Bezigrad,9,2014,151.0,591000.0,Prodaja,Stanovanje
6057706,"LJ. BEŽIGRAD, BLIŽINA CENTRA",Bezigrad,1,2000,139.0,209900.0,Prodaja,Stanovanje
6059894,"LJ. BEŽIGRAD, BLIŽINA PLEČNIKOVEGA STADIONA",Bezigrad,2,2002,108.8,189000.0,Prodaja,Stanovanje
6052713,"LJ. BEŽIGRAD, BLIŽINA POP TV",Bezigrad,P,1961,57.0,142000.0,Prodaja,Stanovanje
6065527,"LJ. BEŽIGRAD, BRATOVŠEVA PLOŠČAD",Bezigrad,P,1976,68.5,133000.0,Prodaja,Stanovanje
6069749,"LJ. BEŽIGRAD, BRATOVŠEVA PLOŠČAD",Bezigrad,VP,1976,84.0,165000.0,Prodaja,Stanovanje
6054680,"LJ. BEŽIGRAD, BREZ PROVIZIJE ZA KUPCA",Bezigrad,P,2000,44.0,110000.0,Prodaja,Stanovanje
6068240,"LJ. BEŽIGRAD, BREZ PROVIZIJE ZA KUPCA",Bezigrad,1,1972,45.0,150000.0,Oddaja,Stanovanje
6057910,"LJ. BEŽIGRAD, BS 3",Bezigrad,9,1982,46.0,106000.0,Prodaja,Stanovanje
6069451,"LJ. BEŽIGRAD, BS3",Bezigrad,1,1978,55.0,134500.0,Prodaja,Stanovanje
6069615,"LJ. BEŽIGRAD, BS3",Bezigrad,1,1978,57.4,134500.0,Prodaja,Stanovanje
6059875,"LJ. BEŽIGRAD, BS4",Bezigrad,P,2000,44.7,110000.0,Prodaja,Stanovanje
5987396,"LJ. BEŽIGRAD, BS4",Bezigrad,5,2001,133.7,366000.0,Prodaja,Stanovanje
6044011,"LJ. BEŽIGRAD, ČRNUČE",Bezigrad,VP,1973,42.0,89000.0,Prodaja,Stanovanje
6054102,"LJ. BEŽIGRAD, ČRNUČE",Bezigrad,4,2011,84.1,225000.0,Prodaja,Stanovanje
