id,ime,podrocje,nadstropje,leto,velikost,cena
6074993,"LJ. ŠIŠKA, ZOFKE KVEDROVE ULICA",Siska,2,1948,75.0,165000.0
6063195,PODUTIK,Siska,1,1972,60.0,120000.0
6066620,PODUTIK,Siska,1,1966,89.4,145000.0
6066542,PODUTIK,Siska,5,2008,180.0,380000.0
6041658,PODUTIK,Siska,1,2006,185.5,399000.0
6066645,PODUTIK,Siska,2,1991,52.6,128000.0
6068995,SP. ŠIŠKA,Siska,6,1968,103.4,260000.0
6073277,"SP. ŠIŠKA, BLIŽINA TIVOLIJA IN CETRA MESTA",Siska,P,1889,68.0,195000.0
6075456,"SP. ŠIŠKA, LJ. SPODNJA",Siska,2,1946,60.0,127000.0
6074412,"SP. ŠIŠKA, MAZIJEVA 5",Siska,VP,1965,56.85,130000.0
6070420,"SP. ŠIŠKA, NASPROTI PARKA TIVOLI",Siska,P,2005,68.6,279000.0
6070985,ŠENTVID,Siska,4,1963,56.0,110000.0
6066420,ŠENTVID,Siska,4,1963,56.0,110000.0
6063671,ŠENTVID,Siska,4,1963,56.0,110000.0
6030502,ŠENTVID,Siska,1,1977,57.55,129000.0
6074681,ŠENTVID,Siska,P,2004,61.2,138500.0
6074193,ŠENTVID,Siska,1,1966,63.6,131000.0
6066852,ŠENTVID,Siska,VP,1954,69.32,160000.0
6068276,ŠENTVID,Siska,1,1955,78.3,114900.0
6062862,ŠENTVID,Siska,3,1984,98.4,215000.0
6030022,ŠENTVID,Siska,P,1939,112.8,195000.0
6037585,ŠENTVID,Siska,P,2004,147.0,138500.0
6074919,"ŠENTVID, BLIŽINA CERKVE",Siska,3,1933,80.8,125000.0
6070807,"ŠENTVID, BREZ PROVIZIJE ZA KUPCA",Siska,4,1963,56.0,110000.0
6075187,"ŠENTVID, BREZ PROVIZIJE ZA KUPCA",Siska,3,1963,56.0,110000.0
6062562,"ŠENTVID, INVESTICIJA",Siska,3,1984,98.4,215000.0
5996409,"ŠENTVID, SELANOV TRG",Siska,1,1990,76.0,139000.0
6074815,"ŠENTVID, ŠENVID, KUPEC NE PLAČA PROVIZIJE",Siska,4,1963,56.0,110000.0
5976853,"ŠENTVID, ZNIŽANA CENA",Siska,3,1965,80.8,125000.0
6062560,"ŠENTVID, ZVEZDA",Siska,3,1984,98.4,215000.0
6059368,"ŠENTVID, ZVEZDA 12",Siska,3,1984,98.4,215000.0
6070301,"ŠENTVID, ZVEZDA, PRILOŽNOST ZA INVESTICIJO NAJEMNINA700 EUR+...",Siska,3,1986,90.0,215000.0
6047326,ŠMARTNO POD ŠMARNO GORO,Siska,M,1950,55.0,89000.0
5788559,"BIŠČE, 2 STANOVANJSKI ENOTI",Siska,1,1992,96.4,170000.0
6068989,ŠMARTNO POD ŠMARNO GORO,Siska,M,2009,136.7,365225.0
6067899,TACEN,Siska,1,2009,79.66,215000.0
6063863,TACEN,Siska,1,2003,82.0,163400.0
6067060,TACEN,Siska,2,2001,107.2,245000.0
6076051,TACEN,Siska,M,2009,134.75,366000.0
5936011,TACEN,Siska,4,2003,147.7,349000.0
5872120,"TACEN, POD ŠMARNO GORO, KAJAKAŠKA CESTA",Siska,VP,2001,40.0,138000.0
6070869,"TACEN, ŠMARTNO, BREZ PROVIZIJE ZA KUPCA",Siska,3,2008,36.0,118000.0
6058605,"TACEN, TACENSKI DVORI",Siska,1,2006,38.5,115000.0
6073273,"TACEN, TACENSKI DVORI, Z ODPRTIM POGLEDOM",Siska,1,2006,44.0,115000.0
6011790,VIŽMARJE,Siska,1,2006,43.6,99000.0
6021526,VIŽMARJE,Siska,M,1968,60.0,109900.0
6058910,VIŽMARJE,Siska,VP,1967,126.0,139900.0
6001604,VIŽMARJE,Siska,K+P+1,1926,372.0,179000.0
6066248,"VIŽMARJE, BLIZU AC PRIKLJUČKA",Siska,K+P+1+2,1967,126.6,139900.0
6073272,"VIŽMARJE, GUNCLJE",Siska,P+1,2000,113.0,195000.0
6074281,ZG. ŠIŠKA,Siska,5,1964,22.0,45000.0
6068935,ZG. ŠIŠKA,Siska,3,1967,30.1,79000.0
6066481,ZG. ŠIŠKA,Siska,3,1995,87.0,215000.0
6067020,ZG. ŠIŠKA,Siska,2,1953,103.75,229000.0
6074195,ZG. ŠIŠKA,Siska,2,1953,103.8,229000.0
6066504,ZG. ŠIŠKA,Siska,2,1952,103.8,240000.0
6069189,ZG. ŠIŠKA,Siska,2,2007,142.0,357000.0
6059231,"ZG. ŠIŠKA, BLIŽINA OBIRSKE ULICE",Siska,2,1952,103.8,229000.0
6068850,"ZG. ŠIŠKA, CELOVŠKA CESTA 264 - LIPA",Siska,7,1983,22.0,52000.0
6044323,"ZG. ŠIŠKA, LJ., ŠIŠENSKA ULICA",Siska,1,1910,92.0,165000.0
6056964,"ZG. ŠIŠKA, NA JAMI",Siska,PK,1938,46.0,88000.0
6070337,"ZG. ŠIŠKA, ŠIŠENSKA CESTA",Siska,3,1960,50.0,113000.0
6074198,"ZG. ŠIŠKA, TRG KOMANDANTA STANETA",Siska,6,1970,69.75,142000.0
6070335,"ZG. ŠIŠKA, VODNIKOVA ULICA",Siska,P,1909,44.0,110000.0
6071609,"ZG. ŠIŠKA, ZOFKE KVEDROVE",Siska,2,1948,75.0,165000.0
6071606,"ZG. ŠIŠKA, ZOFKE KVEDROVE",Siska,2,1948,75.0,165000.0
