id,ime,podrocje,nadstropje,leto,velikost,cena
6075151,LJ. ŠIŠKA,Vic-Rudnik,5,2009,45.8,107000.0
6075297,LJ. ŠIŠKA,Vic-Rudnik,3,1973,48.0,148000.0
6075400,LJ. ŠIŠKA,Vic-Rudnik,6,2009,48.4,107800.0
6075140,LJ. ŠIŠKA,Vic-Rudnik,6,2009,48.8,109700.0
6075402,LJ. ŠIŠKA,Vic-Rudnik,6,2009,51.2,113800.0
6075144,LJ. ŠIŠKA,Vic-Rudnik,7,2009,51.3,111800.0
6075155,LJ. ŠIŠKA,Vic-Rudnik,8,2009,51.3,119100.0
6073512,LJ. ŠIŠKA,Vic-Rudnik,4,1963,56.0,117000.0
6070979,LJ. ŠIŠKA,Vic-Rudnik,1,2009,56.5,210000.0
6067526,LJ. ŠIŠKA,Vic-Rudnik,1,2010,56.54,205000.0
6021525,LJ. ŠIŠKA,Vic-Rudnik,VP,1965,58.3,130000.0
6076052,LJ. ŠIŠKA,Vic-Rudnik,3,2005,59.2,198000.0
5961693,LJ. ŠIŠKA,Vic-Rudnik,P,2000,59.4,149000.0
6075403,LJ. ŠIŠKA,Vic-Rudnik,6,2009,59.5,139200.0
6075408,LJ. ŠIŠKA,Vic-Rudnik,8,2009,60.8,133900.0
6075401,LJ. ŠIŠKA,Vic-Rudnik,6,2009,61.6,117600.0
6075404,LJ. ŠIŠKA,Vic-Rudnik,7,2009,64.0,119500.0
6075142,LJ. ŠIŠKA,Vic-Rudnik,7,2009,64.1,119300.0
6075150,LJ. ŠIŠKA,Vic-Rudnik,8,2009,64.1,120200.0
6071671,LJ. ŠIŠKA,Vic-Rudnik,P,1889,64.6,195000.0
6058135,LJ. ŠIŠKA,Vic-Rudnik,VP,1933,66.0,99000.0
6075156,LJ. ŠIŠKA,Vic-Rudnik,5,2009,73.12,120300.0
6071388,LJ. ŠIŠKA,Vic-Rudnik,2,1948,75.0,165000.0
